LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
CZE	UNEMP	TOT	PC_LF	A	2017	2.890817	
CZE	UNEMP	TOT	PC_LF	A	2018	2.243518	
DNK	UNEMP	TOT	PC_LF	A	2004	5.507644	B
DNK	UNEMP	TOT	PC_LF	A	2005	4.830782	
DNK	UNEMP	TOT	PC_LF	A	2006	3.898582	
DNK	UNEMP	TOT	PC_LF	A	2007	3.79897	
DNK	UNEMP	TOT	PC_LF	A	2008	3.43347	
DNK	UNEMP	TOT	PC_LF	A	2009	6.009111	
DNK	UNEMP	TOT	PC_LF	A	2010	7.463035	
DNK	UNEMP	TOT	PC_LF	A	2011	7.572792	
DNK	UNEMP	TOT	PC_LF	A	2012	7.524072	
DNK	UNEMP	TOT	PC_LF	A	2013	6.995368	
DNK	UNEMP	TOT	PC_LF	A	2014	6.59281	
DNK	UNEMP	TOT	PC_LF	A	2015	6.169618	B
DNK	UNEMP	TOT	PC_LF	A	2016	6.180843	B
DNK	UNEMP	TOT	PC_LF	A	2017	5.743293	
DNK	UNEMP	TOT	PC_LF	A	2018	4.975856	
FIN	UNEMP	TOT	PC_LF	A	2004	8.816031	B
FIN	UNEMP	TOT	PC_LF	A	2005	8.37867	
FIN	UNEMP	TOT	PC_LF	A	2006	7.714881	
FIN	UNEMP	TOT	PC_LF	A	2007	6.853993	B
FIN	UNEMP	TOT	PC_LF	A	2008	6.362757	
FIN	UNEMP	TOT	PC_LF	A	2009	8.237782	
FIN	UNEMP	TOT	PC_LF	A	2010	8.386981	
FIN	UNEMP	TOT	PC_LF	A	2011	7.774969	
FIN	UNEMP	TOT	PC_LF	A	2012	7.68181	
FIN	UNEMP	TOT	PC_LF	A	2013	8.186392	
FIN	UNEMP	TOT	PC_LF	A	2014	8.657802	
FIN	UNEMP	TOT	PC_LF	A	2015	9.367311	
FIN	UNEMP	TOT	PC_LF	A	2016	8.811286	
FIN	UNEMP	TOT	PC_LF	A	2017	8.63445	
FIN	UNEMP	TOT	PC_LF	A	2018	7.357432	
FRA	UNEMP	TOT	PC_LF	A	2004	8.468398	B
FRA	UNEMP	TOT	PC_LF	A	2005	8.493855	
FRA	UNEMP	TOT	PC_LF	A	2006	8.449007	
FRA	UNEMP	TOT	PC_LF	A	2007	7.658579	
FRA	UNEMP	TOT	PC_LF	A	2008	7.062972	
FRA	UNEMP	TOT	PC_LF	A	2009	8.735972	
FRA	UNEMP	TOT	PC_LF	A	2010	8.871792	
FRA	UNEMP	TOT	PC_LF	A	2011	8.811044	
FRA	UNEMP	TOT	PC_LF	A	2012	9.399351	
FRA	UNEMP	TOT	PC_LF	A	2013	9.921325	B
FRA	UNEMP	TOT	PC_LF	A	2014	10.29171	
FRA	UNEMP	TOT	PC_LF	A	2015	10.35981	
FRA	UNEMP	TOT	PC_LF	A	2016	10.05661	
FRA	UNEMP	TOT	PC_LF	A	2017	9.398605	
FRA	UNEMP	TOT	PC_LF	A	2018	9.059228	
DEU	UNEMP	TOT	PC_LF	A	2004	9.793687	B
DEU	UNEMP	TOT	PC_LF	A	2005	11.16768	
DEU	UNEMP	TOT	PC_LF	A	2006	10.25272	
DEU	UNEMP	TOT	PC_LF	A	2007	8.66153	
DEU	UNEMP	TOT	PC_LF	A	2008	7.527764	
DEU	UNEMP	TOT	PC_LF	A	2009	7.743155	B
DEU	UNEMP	TOT	PC_LF	A	2010	6.967637	B
DEU	UNEMP	TOT	PC_LF	A	2011	5.827424	
DEU	UNEMP	TOT	PC_LF	A	2012	5.380757	
DEU	UNEMP	TOT	PC_LF	A	2013	5.231962	
DEU	UNEMP	TOT	PC_LF	A	2014	4.981592	
DEU	UNEMP	TOT	PC_LF	A	2015	4.624955	
DEU	UNEMP	TOT	PC_LF	A	2016	4.122733	
DEU	UNEMP	TOT	PC_LF	A	2017	3.746631	
DEU	UNEMP	TOT	PC_LF	A	2018	3.38409	
GRC	UNEMP	TOT	PC_LF	A	2004	10.59146	B
GRC	UNEMP	TOT	PC_LF	A	2005	9.994969	
GRC	UNEMP	TOT	PC_LF	A	2006	9.008785	
GRC	UNEMP	TOT	PC_LF	A	2007	8.397298	
GRC	UNEMP	TOT	PC_LF	A	2008	7.760761	B
GRC	UNEMP	TOT	PC_LF	A	2009	9.615903	
GRC	UNEMP	TOT	PC_LF	A	2010	12.71716	
GRC	UNEMP	TOT	PC_LF	A	2011	17.87071	
GRC	UNEMP	TOT	PC_LF	A	2012	24.44174	
GRC	UNEMP	TOT	PC_LF	A	2013	27.46715	
GRC	UNEMP	TOT	PC_LF	A	2014	26.49027	
GRC	UNEMP	TOT	PC_LF	A	2015	24.90084	
GRC	UNEMP	TOT	PC_LF	A	2016	23.54104	
GRC	UNEMP	TOT	PC_LF	A	2017	21.48901	
GRC	UNEMP	TOT	PC_LF	A	2018	19.29447	
HUN	UNEMP	TOT	PC_LF	A	2004	6.079033	B
HUN	UNEMP	TOT	PC_LF	A	2005	7.188301	
HUN	UNEMP	TOT	PC_LF	A	2006	7.494521	
HUN	UNEMP	TOT	PC_LF	A	2007	7.406472	
HUN	UNEMP	TOT	PC_LF	A	2008	7.817173	
HUN	UNEMP	TOT	PC_LF	A	2009	10.02932	
HUN	UNEMP	TOT	PC_LF	A	2010	11.17377	
HUN	UNEMP	TOT	PC_LF	A	2011	11.03269	
HUN	UNEMP	TOT	PC_LF	A	2012	11.00812	
HUN	UNEMP	TOT	PC_LF	A	2013	10.18524	
HUN	UNEMP	TOT	PC_LF	A	2014	7.728486	
HUN	UNEMP	TOT	PC_LF	A	2015	6.817803	
HUN	UNEMP	TOT	PC_LF	A	2016	5.119285	
HUN	UNEMP	TOT	PC_LF	A	2017	4.157162	
HUN	UNEMP	TOT	PC_LF	A	2018	3.707886	
IRL	UNEMP	TOT	PC_LF	A	2004	4.538512	B
IRL	UNEMP	TOT	PC_LF	A	2005	4.338238	
IRL	UNEMP	TOT	PC_LF	A	2006	4.411824	B
IRL	UNEMP	TOT	PC_LF	A	2007	4.979443	
IRL	UNEMP	TOT	PC_LF	A	2008	6.773265	
IRL	UNEMP	TOT	PC_LF	A	2009	12.60812	
IRL	UNEMP	TOT	PC_LF	A	2010	14.53227	
IRL	UNEMP	TOT	PC_LF	A	2011	15.35064	
IRL	UNEMP	TOT	PC_LF	A	2012	15.44939	
IRL	UNEMP	TOT	PC_LF	A	2013	13.73561	
IRL	UNEMP	TOT	PC_LF	A	2014	11.85948	
IRL	UNEMP	TOT	PC_LF	A	2015	9.909575	
IRL	UNEMP	TOT	PC_LF	A	2016	8.37511	
IRL	UNEMP	TOT	PC_LF	A	2017	6.71373	B
IRL	UNEMP	TOT	PC_LF	A	2018	5.738596	
ITA	UNEMP	TOT	PC_LF	A	2004	7.998679	B
ITA	UNEMP	TOT	PC_LF	A	2005	7.728764	
ITA	UNEMP	TOT	PC_LF	A	2006	6.775816	
ITA	UNEMP	TOT	PC_LF	A	2007	6.075274	
ITA	UNEMP	TOT	PC_LF	A	2008	6.723351	
ITA	UNEMP	TOT	PC_LF	A	2009	7.747658	
ITA	UNEMP	TOT	PC_LF	A	2010	8.359172	
ITA	UNEMP	TOT	PC_LF	A	2011	8.353756	
ITA	UNEMP	TOT	PC_LF	A	2012	10.65126	
ITA	UNEMP	TOT	PC_LF	A	2013	12.14521	
ITA	UNEMP	TOT	PC_LF	A	2014	12.6798	
ITA	UNEMP	TOT	PC_LF	A	2015	11.89388	
ITA	UNEMP	TOT	PC_LF	A	2016	11.68803	
ITA	UNEMP	TOT	PC_LF	A	2017	11.21117	
ITA	UNEMP	TOT	PC_LF	A	2018	10.60792	
LUX	UNEMP	TOT	PC_LF	A	2004	5.138539	B
LUX	UNEMP	TOT	PC_LF	A	2005	4.489393	
LUX	UNEMP	TOT	PC_LF	A	2006	4.731707	B
LUX	UNEMP	TOT	PC_LF	A	2007	4.066088	
LUX	UNEMP	TOT	PC_LF	A	2008	5.050495	B
LUX	UNEMP	TOT	PC_LF	A	2009	5.111732	
LUX	UNEMP	TOT	PC_LF	A	2010	4.351644	
LUX	UNEMP	TOT	PC_LF	A	2011	4.896927	
LUX	UNEMP	TOT	PC_LF	A	2012	5.138287	
LUX	UNEMP	TOT	PC_LF	A	2013	5.836521	
LUX	UNEMP	TOT	PC_LF	A	2014	5.854882	B
LUX	UNEMP	TOT	PC_LF	A	2015	6.658826	
LUX	UNEMP	TOT	PC_LF	A	2016	6.285928	
LUX	UNEMP	TOT	PC_LF	A	2017	5.516146	
LUX	UNEMP	TOT	PC_LF	A	2018	5.582682	
NLD	UNEMP	TOT	PC_LF	A	2004	4.557948	B
NLD	UNEMP	TOT	PC_LF	A	2005	5.873712	
NLD	UNEMP	TOT	PC_LF	A	2006	5.004153	
NLD	UNEMP	TOT	PC_LF	A	2007	4.154393	
NLD	UNEMP	TOT	PC_LF	A	2008	3.655021	
NLD	UNEMP	TOT	PC_LF	A	2009	4.347569	
NLD	UNEMP	TOT	PC_LF	A	2010	4.989325	
NLD	UNEMP	TOT	PC_LF	A	2011	4.976648	
NLD	UNEMP	TOT	PC_LF	A	2012	5.820699	
NLD	UNEMP	TOT	PC_LF	A	2013	7.242696	
NLD	UNEMP	TOT	PC_LF	A	2014	7.416319	
NLD	UNEMP	TOT	PC_LF	A	2015	6.87228	
NLD	UNEMP	TOT	PC_LF	A	2016	6.00791	
NLD	UNEMP	TOT	PC_LF	A	2017	4.840418	
NLD	UNEMP	TOT	PC_LF	A	2018	3.832352	
POL	UNEMP	TOT	PC_LF	A	2004	18.97837	B
POL	UNEMP	TOT	PC_LF	A	2005	17.75269	
POL	UNEMP	TOT	PC_LF	A	2006	13.84889	
POL	UNEMP	TOT	PC_LF	A	2007	9.607605	
POL	UNEMP	TOT	PC_LF	A	2008	7.120995	
POL	UNEMP	TOT	PC_LF	A	2009	8.166371	B
POL	UNEMP	TOT	PC_LF	A	2010	9.640347	
POL	UNEMP	TOT	PC_LF	A	2011	9.632815	
POL	UNEMP	TOT	PC_LF	A	2012	10.08882	
POL	UNEMP	TOT	PC_LF	A	2013	10.32862	
POL	UNEMP	TOT	PC_LF	A	2014	8.990872	
POL	UNEMP	TOT	PC_LF	A	2015	7.50308	
POL	UNEMP	TOT	PC_LF	A	2016	6.161703	
POL	UNEMP	TOT	PC_LF	A	2017	4.887239	
POL	UNEMP	TOT	PC_LF	A	2018	3.846072	
PRT	UNEMP	TOT	PC_LF	A	2004	6.622547	B
PRT	UNEMP	TOT	PC_LF	A	2005	7.580669	
PRT	UNEMP	TOT	PC_LF	A	2006	7.647437	
PRT	UNEMP	TOT	PC_LF	A	2007	7.963667	
PRT	UNEMP	TOT	PC_LF	A	2008	7.551991	
PRT	UNEMP	TOT	PC_LF	A	2009	9.432886	
PRT	UNEMP	TOT	PC_LF	A	2010	10.76982	B
PRT	UNEMP	TOT	PC_LF	A	2011	12.68106	
PRT	UNEMP	TOT	PC_LF	A	2012	15.53028	
PRT	UNEMP	TOT	PC_LF	A	2013	16.1838	
PRT	UNEMP	TOT	PC_LF	A	2014	13.89509	
PRT	UNEMP	TOT	PC_LF	A	2015	12.44469	
PRT	UNEMP	TOT	PC_LF	A	2016	11.06846	
PRT	UNEMP	TOT	PC_LF	A	2017	8.870407	
PRT	UNEMP	TOT	PC_LF	A	2018	6.994051	
SVK	UNEMP	TOT	PC_LF	A	2004	18.22449	B
SVK	UNEMP	TOT	PC_LF	A	2005	16.25893	
SVK	UNEMP	TOT	PC_LF	A	2006	13.37262	
SVK	UNEMP	TOT	PC_LF	A	2007	11.14481	
SVK	UNEMP	TOT	PC_LF	A	2008	9.512194	
SVK	UNEMP	TOT	PC_LF	A	2009	12.01791	
SVK	UNEMP	TOT	PC_LF	A	2010	14.38103	B
SVK	UNEMP	TOT	PC_LF	A	2011	13.61758	
SVK	UNEMP	TOT	PC_LF	A	2012	13.96335	
SVK	UNEMP	TOT	PC_LF	A	2013	14.22133	
SVK	UNEMP	TOT	PC_LF	A	2014	13.18428	
SVK	UNEMP	TOT	PC_LF	A	2015	11.48227	
SVK	UNEMP	TOT	PC_LF	A	2016	9.671689	
SVK	UNEMP	TOT	PC_LF	A	2017	8.130965	
SVK	UNEMP	TOT	PC_LF	A	2018	6.536399	
ESP	UNEMP	TOT	PC_LF	A	2004	10.96565	B
ESP	UNEMP	TOT	PC_LF	A	2005	9.151379	
ESP	UNEMP	TOT	PC_LF	A	2006	8.454682	
ESP	UNEMP	TOT	PC_LF	A	2007	8.231978	
ESP	UNEMP	TOT	PC_LF	A	2008	11.2443	
ESP	UNEMP	TOT	PC_LF	A	2009	17.85731	
ESP	UNEMP	TOT	PC_LF	A	2010	19.8598	
ESP	UNEMP	TOT	PC_LF	A	2011	21.39048	
ESP	UNEMP	TOT	PC_LF	A	2012	24.78815	
ESP	UNEMP	TOT	PC_LF	A	2013	26.0919	
ESP	UNEMP	TOT	PC_LF	A	2014	24.44284	
ESP	UNEMP	TOT	PC_LF	A	2015	22.05655	
ESP	UNEMP	TOT	PC_LF	A	2016	19.63388	
ESP	UNEMP	TOT	PC_LF	A	2017	17.22489	
ESP	UNEMP	TOT	PC_LF	A	2018	15.25788	
SWE	UNEMP	TOT	PC_LF	A	2004	6.525636	B
SWE	UNEMP	TOT	PC_LF	A	2005	7.475815	B
SWE	UNEMP	TOT	PC_LF	A	2006	7.068759	
SWE	UNEMP	TOT	PC_LF	A	2007	6.163466	
SWE	UNEMP	TOT	PC_LF	A	2008	6.234297	
SWE	UNEMP	TOT	PC_LF	A	2009	8.346865	
SWE	UNEMP	TOT	PC_LF	A	2010	8.610753	
SWE	UNEMP	TOT	PC_LF	A	2011	7.80387	
SWE	UNEMP	TOT	PC_LF	A	2012	7.975423	
SWE	UNEMP	TOT	PC_LF	A	2013	8.052903	
SWE	UNEMP	TOT	PC_LF	A	2014	7.955972	
SWE	UNEMP	TOT	PC_LF	A	2015	7.432082	
SWE	UNEMP	TOT	PC_LF	A	2016	6.991096	
SWE	UNEMP	TOT	PC_LF	A	2017	6.718704	
SWE	UNEMP	TOT	PC_LF	A	2018	6.346331	
GBR	UNEMP	TOT	PC_LF	A	2004	4.690948	B
GBR	UNEMP	TOT	PC_LF	A	2005	4.74926	
GBR	UNEMP	TOT	PC_LF	A	2006	5.348789	B
GBR	UNEMP	TOT	PC_LF	A	2007	5.262478	B
GBR	UNEMP	TOT	PC_LF	A	2008	5.61258	
GBR	UNEMP	TOT	PC_LF	A	2009	7.536723	
GBR	UNEMP	TOT	PC_LF	A	2010	7.786648	
GBR	UNEMP	TOT	PC_LF	A	2011	8.036335	
GBR	UNEMP	TOT	PC_LF	A	2012	7.88616	
GBR	UNEMP	TOT	PC_LF	A	2013	7.525889	
GBR	UNEMP	TOT	PC_LF	A	2014	6.111351	
GBR	UNEMP	TOT	PC_LF	A	2015	5.301934	
GBR	UNEMP	TOT	PC_LF	A	2016	4.813419	
GBR	UNEMP	TOT	PC_LF	A	2017	4.335138	
GBR	UNEMP	TOT	PC_LF	A	2018	3.996093	
EST	UNEMP	TOT	PC_LF	A	2004	10.13928	B
EST	UNEMP	TOT	PC_LF	A	2005	8.033425	
EST	UNEMP	TOT	PC_LF	A	2006	5.914059	
EST	UNEMP	TOT	PC_LF	A	2007	4.592134	
EST	UNEMP	TOT	PC_LF	A	2008	5.434531	
EST	UNEMP	TOT	PC_LF	A	2009	13.54691	
EST	UNEMP	TOT	PC_LF	A	2010	16.70262	
EST	UNEMP	TOT	PC_LF	A	2011	12.33337	
EST	UNEMP	TOT	PC_LF	A	2012	10.02366	
EST	UNEMP	TOT	PC_LF	A	2013	8.631536	
EST	UNEMP	TOT	PC_LF	A	2014	7.355543	
EST	UNEMP	TOT	PC_LF	A	2015	6.191967	
EST	UNEMP	TOT	PC_LF	A	2016	6.753039	
EST	UNEMP	TOT	PC_LF	A	2017	5.762793	
EST	UNEMP	TOT	PC_LF	A	2018	5.374337	
SVN	UNEMP	TOT	PC_LF	A	2004	6.294299	B
SVN	UNEMP	TOT	PC_LF	A	2005	6.503201	
SVN	UNEMP	TOT	PC_LF	A	2006	5.952952	
SVN	UNEMP	TOT	PC_LF	A	2007	4.824745	
SVN	UNEMP	TOT	PC_LF	A	2008	4.375046	
SVN	UNEMP	TOT	PC_LF	A	2009	5.847313	
SVN	UNEMP	TOT	PC_LF	A	2010	7.237447	
SVN	UNEMP	TOT	PC_LF	A	2011	8.169436	
SVN	UNEMP	TOT	PC_LF	A	2012	8.838806	
SVN	UNEMP	TOT	PC_LF	A	2013	10.10859	
SVN	UNEMP	TOT	PC_LF	A	2014	9.673278	
SVN	UNEMP	TOT	PC_LF	A	2015	8.962607	
SVN	UNEMP	TOT	PC_LF	A	2016	8.006598	
SVN	UNEMP	TOT	PC_LF	A	2017	6.569075	
SVN	UNEMP	TOT	PC_LF	A	2018	5.110229	
LVA	UNEMP	TOT	PC_LF	A	2004	11.74615	B
LVA	UNEMP	TOT	PC_LF	A	2005	10.03827	
LVA	UNEMP	TOT	PC_LF	A	2006	7.043975	
LVA	UNEMP	TOT	PC_LF	A	2007	6.063879	
LVA	UNEMP	TOT	PC_LF	A	2008	7.739463	
LVA	UNEMP	TOT	PC_LF	A	2009	17.55346	
LVA	UNEMP	TOT	PC_LF	A	2010	19.48375	
LVA	UNEMP	TOT	PC_LF	A	2011	16.21216	
LVA	UNEMP	TOT	PC_LF	A	2012	15.0552	
LVA	UNEMP	TOT	PC_LF	A	2013	11.8683	
LVA	UNEMP	TOT	PC_LF	A	2014	10.84309	
LVA	UNEMP	TOT	PC_LF	A	2015	9.875636	
LVA	UNEMP	TOT	PC_LF	A	2016	9.641258	
LVA	UNEMP	TOT	PC_LF	A	2017	8.716354	
LVA	UNEMP	TOT	PC_LF	A	2018	7.415344	
LTU	UNEMP	TOT	PC_LF	A	2005	8.32191	
LTU	UNEMP	TOT	PC_LF	A	2006	5.778923	
LTU	UNEMP	TOT	PC_LF	A	2007	4.254303	
LTU	UNEMP	TOT	PC_LF	A	2008	5.812195	
LTU	UNEMP	TOT	PC_LF	A	2009	13.78231	
LTU	UNEMP	TOT	PC_LF	A	2010	17.81879	
LTU	UNEMP	TOT	PC_LF	A	2011	15.38251	
LTU	UNEMP	TOT	PC_LF	A	2012	13.36761	
LTU	UNEMP	TOT	PC_LF	A	2013	11.77156	
LTU	UNEMP	TOT	PC_LF	A	2014	10.69969	
LTU	UNEMP	TOT	PC_LF	A	2015	9.119895	
LTU	UNEMP	TOT	PC_LF	A	2016	7.860914	
LTU	UNEMP	TOT	PC_LF	A	2017	7.07182	
LTU	UNEMP	TOT	PC_LF	A	2018	6.152077	
